E3,SUB,source,key,SUB_random,E3_random
Q9Y297,P35222,10023660,Q9Y297_P35222,P61978,Q9GZX9
Q9Y297,P25963,10066435,Q9Y297_P25963,O15169,P62877
Q9Y297,Q15653,10514424,Q9Y297_Q15653,Q9Y297,P62837
Q9Y297,P19838,10835356,Q9Y297_P19838,Q00839,Q99933
Q9Y297,P18848,11111111,Q9Y297_P18848,Q9UH99,P31751
Q9Y297,P84022,11111111,Q9Y297_P84022,Q9UMX1,O15151
Q9Y297,O00221,11111111,Q9Y297_O00221,O75914,Q13546
Q9Y297,Q00653,11111111,Q9Y297_Q00653,Q5XKE5,Q13114
Q9Y297,Q13485,11111111,Q9Y297_Q13485,Q04206,P55347
Q9Y297,Q9NS37,11238952,Q9Y297_Q9NS37,Q9H2X6,Q96H35
Q9Y297,P50579,11438690,Q9Y297_P50579,Q15843,Q9NZQ8
Q9Y297,P01730,11893391,Q9Y297_P01730,Q13616,Q5VWK5
Q9Y297,Q9UKT4,12820955,Q9Y297_Q9UKT4,Q9Y2F5,Q8WWF1
Q9Y297,Q12959,12902344,Q9Y297_Q12959,Q9Y266,Q9UM54
Q9Y297,Q8TDM6,12902344,Q9Y297_Q8TDM6,O95858,P81274
Q9Y297,Q13127,14523018,Q9Y297_Q13127,Q16526,Q9BTK6
Q9Y297,P30304,14681206,Q9Y297_P30304,P52630,Q11201
Q9Y297,P30291,15070733,Q9Y297_P30291,P61081,Q9NQS7
Q9Y297,P16471,15082796,Q9Y297_P16471,O75896,Q9BZV3
Q9Y297,O15534,15767683,Q9Y297_O15534,P0DML2,P36959
Q9Y297,O15055,15767683,Q9Y297_O15055,P56704,Q9UBK2
Q9Y297,P17181,16551269,Q9Y297_P17181,P55072,Q12933
Q9Y297,Q53EL6,17053147,Q9Y297_Q53EL6,O60447,P31751
Q9Y297,Q13563,17636028,Q9Y297_Q13563,O14649,Q8IY31
Q9Y297,P53805,18575781,Q9Y297_P53805,Q96RU2,P51617
